报表日期	20260630	20260331	20251231	20250930	20250630	20250331	20241231	20240930	20240630	20240331	20231231	20230930	20230630	20230331	20221231	20220930	20220630	20220331	20211231	20210930	20210630	20210331	20201231	20200930	20200630	20200331	20191231	20190930	20190630	20190331	20181231	20180930	20180630	20180331	20171231	20170930	20170630	20170331	20161231	20160930	20160630	20160331	20151231	20150930	20150630	20150331	20141231	20140930	20140630	20140331	20131231	20130930	20130630	20130331	20121231	20120930	20120630	20120331	20111231	20110930	20110630	20110331	20101231	20100930	20100630	20100331	20091231	20090930	20090630	20090331	20081231	20080930	20080630	20080331	20071231	20070930	20070630	20070331	20061231	20060930	20060630	20060331	20051231	20050930	20050630	20050331	20041231	20040930	20040630	20040331	20031231	20030930	20030630	20030331	20021231	20020930	20020630	20020331	20011231	20010630	20001231	20000630	19991231	19990630	19981231	19971231	19961231	19951231	19700101	
单位	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元	元		
流动资产
待处理流动资产损益	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
其他流动资产	10047349976.92	10823394064.03	7997527055.55	7937063410.18	6331765529.22	3654149520.42	2147643738.44	2849833258.57	2649468530.56	3493431038.98	3837484542.72	4079210957.46	3170018430.98	3813598180.62	2154049515.93	1003084304.52	954455683.44	2256111882.76	1623777747.41	1459011044.96	879973819.35	644153928.46	513368484.76	257390598.26	451367308.83	340055817.16	358528085.64	396119100.88	419970323.23	306033936.94	316414966.42	479439271.99	590277546.26	1260064142.90	276958347.30	371510336.21	769331874.63	2240889620.90	248978269.65	879033418.59	2065794448.19	5048533322.46	2806370636.74	3243883627.30	1661237881.25	3213258427.36	1500153520.33	2449910991.45	1246472153.72	2038349266.68	1153731514.31	1983676009.78	1254600000.00	483638249.58	728499322.21	795706532.19	720000000.00	540000000.00	558735312.67	0	0	0	315000000.00	0	0	0	0	0	0	0	0	4052925.22	162133.98	13033898.72	17135473.40	6617824.27	5571776.00	7273583.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
流动资产合计	21648049674.93	24144383650.76	19923514865.93	21033375337.67	18957506545.85	23770386133.16	17846257098.62	18516435482.53	16349694611.81	21284598969.58	16376412407.80	21317728328.31	16401230856.49	22485406125.79	16075782073.93	20046225998.82	15737461362.50	21750483056.22	17520013440.57	20248895963.61	18157216793.20	24205932266.44	22073939430.04	24621172122.91	17743398878.50	19021337217.42	16303245417.83	14380887150.27	12427201729.89	11697369270.85	9761072849.77	11166478247.29	8789855267.47	10592016781.43	10016534867.96	8431651087.75	7017850858.46	9378800350.42	7041053832.08	7133260968.55	6693218667.60	9412457749.26	8915759358.91	8768546474.40	7601328517.75	8863216736.21	8530791355.20	8390648590.89	7069765500.49	9538717556.42	8958094600.43	8041475824.06	7133448871.94	8325722222.42	7248156075.67	6526090274.60	3489588683.53	3868810826.00	7183331708.44	4405414953.25	4496031838.95	3654255021.19	4473842485.58	3752239869.94	3676226496.06	3516693488.51	3431916149.82	3340411324.02	3630746208.44	3675599371.02	2414464090.62	2213923874.81	1722523951.76	2162722018.49	2087012332.76	2034252861.02	1642883397.42	1832133335.88	1779882220.18	1705813964.54	1387484891.65	1249343633.26	1507504978.89	1456752278.06	1674689112.79	1436850706.10	1344561536.28	1258156384.71	1325537042.67	1523531366.16	1360282473.78	1354005001.79	1388278335.58	1573407110.72	1398007941.88	1266400586.65	1151950847.25	825691694.03	693628444.84	905023011.13	687551492.70	576932171.95	721625004.33	677146097.78	698421193.16	719338061.77	732968615.91	509932509.62	0	
非流动资产
发放贷款及垫款	0	33561404.07	111325500.00	70297500.00	39000000.00	43494651.86	60842973.11	78449705.83	139837280.87	156293223.65	259750067.89	199048591.88	177015713.54	138411000.00	221729625.00	184665000.00	176533500.00	141808875.00	182646750.00	84427200.00	74272320.00	68683200.00	80097600.00	74624800.00	53824800.00	34243200.00	24600000.00	0	0	0	19680000.00	609391200.00	104076000.00	239120000.00	399417500.00	510840000.00	36630000.00	73755000.00	742500000.00	742500000.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
可供出售金融资产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44686591.59	44686591.59	44686591.59	44686591.59	44686591.59	34038891.59	34038891.59	34038891.59	34038891.59	34038891.59	34038891.59	34038891.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
持有至到期投资	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100982165.93	100031015.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260000000.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5158.40	5158.40	5158.40	10316.80	10316.80	40316.80	0	0	0	
长期应收款	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
长期股权投资	310908586.70	295305041.29	295349798.07	282603251.03	277312911.48	267344182.31	264508814.34	261652471.10	225248053.92	222314045.59	218338872.16	203243318.40	217196004.78	196332170.66	181891306.36	167909141.56	157495446.76	346645329.78	338996010.05	318029600.30	254596992.53	267101826.01	261797620.67	257201388.54	247867036.48	180468644.40	177519153.68	174786178.79	169983178.00	167037576.55	177794468.80	172802716.59	169669621.04	179811463.86	175762503.25	174554182.54	172358792.39	166175021.19	176666881.24	172728714.55	168611222.72	170088013.54	161593594.79	161138687.61	160706580.87	166145486.41	162039017.94	161865840.67	158094050.24	154694246.56	169430015.02	166749761.18	162293283.79	175269593.63	169033304.43	164866139.04	363042492.95	360102759.83	164042451.51	350944056.60	328576145.04	355601576.94	336515706.54	418539451.23	386367292.40	379304955.93	379877911.70	364506357.76	356936601.36	335099019.94	335134185.68	323559558.51	304699995.15	289699020.01	327354408.87	321262167.59	300475981.21	280288106.93	297136053.41	285438768.47	275028918.62	317623419.75	324502554.32	284408771.31	291248072.63	284906241.43	297081311.17	292340420.66	290692008.51	252192227.04	314151309.24	336522776.51	327607808.00	149268950.91	235786422.13	234053703.04	226732564.20	199311004.82	139183818.55	142173636.23	103063505.85	113175631.29	98920648.49	48424569.41	90848409.19	43802997.27	0	0	0	
投资性房地产	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	957830.68	975666.04	993501.40	1011336.76	2023043.22	0	0	2110057.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
