| date | open | last | high | low | volume | amount | exchange |
| 2023-04-28 | 26.951 | 27.685 | 27.694 | 26.165 | 179352316 | 48403754727 | 7.26 |
| 2023-04-21 | 26.505 | 27.057 | 28.045 | 26.372 | 205775928 | 56424691653 | 8.33 |
| 2023-04-14 | 26.761 | 26.697 | 27.726 | 26.16 | 190519108 | 51267861093 | 7.71 |
| 2023-04-06 | 27.446 | 26.975 | 27.936 | 26.334 | 167997621 | 45640555658 | 6.80 |
| 2023-03-31 | 26.775 | 27.713 | 27.77 | 25.791 | 190927190 | 51463483549 | 7.73 |
| 2023-03-24 | 25.556 | 26.718 | 27.526 | 25.072 | 279775289 | 74391116761 | 11.33 |
| 2023-03-17 | 22.7 | 25.666 | 26.338 | 22.246 | 285477901 | 70126759593 | 11.56 |
| 2023-03-10 | 23.831 | 22.912 | 24.398 | 22.674 | 244227914 | 57857631345 | 9.89 |
| 2023-03-03 | 23.611 | 23.83 | 23.84 | 22.376 | 217145004 | 50560351435 | 8.79 |
| 2023-02-24 | 20.948 | 23.228 | 23.828 | 20.37 | 263091019 | 59262322951 | 10.70 |
| 2023-02-17 | 21.484 | 21.335 | 22.991 | 20.91 | 244949430 | 54160628389 | 9.95 |
| 2023-02-10 | 20.754 | 21.212 | 22.963 | 20.734 | 275061045 | 60137666343 | 11.19 |
| 2023-02-03 | 19.9 | 21.047 | 21.894 | 18.903 | 264074652 | 53937533931 | 10.73 |
| 2023-01-27 | 18.019 | 20.314 | 20.577 | 17.774 | 263258120 | 50923995839 | 10.70 |
| 2023-01-20 | 16.857 | 17.794 | 17.828 | 16.689 | 196862443 | 34175415107 | 8.01 |
| 2023-01-13 | 15.246 | 16.857 | 16.88 | 15.103 | 224031287 | 35994591994 | 9.11 |
| 2023-01-06 | 14.814 | 14.822 | 14.973 | 13.999 | 162681191 | 23549411485 | 6.61 |
| 2022-12-30 | 15.036 | 14.578 | 15.062 | 13.849 | 148138178 | 21278978202 | 6.02 |
| 2022-12-23 | 16.531 | 15.168 | 16.586 | 14.845 | 199669484 | 31547509223 | 8.12 |
| 2022-12-16 | 16.994 | 16.53 | 18.743 | 16.369 | 256757869 | 44748529834 | 10.44 |
| 2022-12-09 | 16.637 | 16.959 | 17.539 | 15.628 | 205813075 | 34207118535 | 8.36 |
| 2022-12-02 | 15.981 | 16.834 | 17.222 | 15.477 | 201019987 | 33000216246 | 8.17 |
| 2022-11-25 | 15.105 | 16.225 | 16.481 | 15.038 | 147278061 | 23366763268 | 5.92 |
| 2022-11-18 | 16.173 | 15.366 | 16.951 | 15.078 | 292624000 | 47057740105 | 11.75 |
| 2022-11-11 | 14.188 | 16.281 | 16.343 | 13.721 | 281607332 | 42069785413 | 11.30 |
| 2022-11-04 | 13.74 | 14.116 | 14.189 | 12.92 | 270442650 | 37056202813 | 10.86 |
| 2022-10-28 | 12.473 | 13.795 | 13.811 | 12.03 | 266262603 | 34954209236 | 10.69 |
| 2022-10-21 | 11.486 | 12.431 | 12.733 | 11.485 | 302515886 | 36628139471 | 12.15 |
| 2022-10-14 | 12.003 | 11.196 | 12.09 | 10.783 | 342230607 | 39585318034 | 13.75 |
| 2022-10-07 | 12.313 | 12.042 | 13.618 | 11.988 | 295542592 | 37890405946 | 11.88 |
| 2022-09-30 | 12.456 | 12.105 | 12.787 | 11.913 | 274201217 | 34020760521 | 11.01 |
| 2022-09-23 | 12.976 | 12.481 | 13.992 | 12.223 | 332465390 | 43283085310 | 13.35 |
| 2022-09-16 | 14.329 | 13.161 | 14.506 | 12.582 | 298199797 | 39766520425 | 11.96 |
| 2022-09-09 | 13.689 | 14.347 | 14.434 | 13.309 | 216041018 | 29826174621 | 8.68 |
| 2022-09-02 | 15.97 | 13.605 | 16.287 | 13.229 | 352204509 | 51250554334 | 14.09 |
| 2022-08-26 | 17.436 | 16.21 | 17.891 | 16.187 | 284205795 | 48919130040 | 11.37 |
| 2022-08-19 | 18.643 | 17.794 | 19.105 | 17.715 | 221273920 | 41030833513 | 8.85 |
| 2022-08-12 | 17.448 | 18.651 | 18.66 | 16.672 | 323688899 | 57531873273 | 12.95 |
| 2022-08-05 | 18.126 | 18.93 | 19.214 | 17.934 | 217986209 | 40785123872 | 8.72 |
| 2022-07-29 | 16.966 | 18.107 | 18.188 | 16.427 | 235849535 | 41020929883 | 9.43 |
| 2022-07-22 | 16.252 | 17.265 | 18.088 | 15.953 | 322714148 | 55477168880 | 12.91 |
| 2022-07-15 | 15.478 | 15.713 | 15.733 | 14.42 | 226096048 | 34407757339 | 9.03 |
| 2022-07-08 | 14.131 | 15.789 | 15.987 | 14.012 | 214214799 | 32619672863 | 8.57 |
| 2022-07-01 | 17.258 | 14.478 | 17.276 | 14.347 | 263585963 | 41124085141 | 10.54 |
| 2022-06-24 | 16.424 | 17.073 | 17.087 | 15.804 | 185691874 | 30751966272 | 7.42 |
| 2022-06-17 | 15.951 | 15.831 | 16.816 | 15.281 | 281385119 | 44665494382 | 11.26 |
| 2022-06-10 | 19.076 | 16.921 | 19.273 | 16.817 | 203579723 | 37407285377 | 8.14 |
| 2022-06-03 | 18.918 | 18.658 | 19.554 | 18.062 | 245604793 | 46301810325 | 9.83 |
| 2022-05-27 | 16.22 | 18.749 | 18.819 | 15.728 | 374452865 | 64314707849 | 14.96 |
| 2022-05-20 | 17.451 | 16.639 | 18.311 | 15.703 | 301285160 | 51967089917 | 12.03 |
| 2022-05-13 | 17.975 | 17.648 | 18.195 | 15.516 | 345526071 | 59209030734 | 13.80 |
| 2022-05-06 | 18.48 | 18.614 | 20.333 | 17.931 | 295628228 | 56537420919 | 11.80 |
| 2022-04-29 | 19.139 | 18.486 | 20.062 | 18.23 | 286492990 | 54851477392 | 11.44 |
| 2022-04-22 | 21.13 | 19.451 | 22.595 | 19.436 | 278837850 | 58945781459 | 10.54 |
| 2022-04-14 | 22.141 | 21.188 | 22.702 | 21.093 | 232350520 | 50886763434 | 8.65 |
| 2022-04-08 | 26.64 | 23.043 | 27.467 | 22.986 | 262092811 | 65276775723 | 10.43 |
| 2022-04-01 | 27.665 | 26.624 | 28.851 | 26.181 | 241864078 | 67019239629 | 9.65 |
| 2022-03-25 | 26.42 | 27.601 | 28.265 | 25.491 | 309724936 | 83621229810 | 12.35 |
| 2022-03-18 | 21.797 | 26.366 | 26.482 | 21.089 | 275143142 | 66071789220 | 11.01 |
| 2022-03-11 | 22.742 | 22.027 | 23.144 | 20.582 | 4692757236 | 98938358422867 | 9.18 |
| 2022-03-04 | 23.908 | 22.86 | 24.579 | 22.408 | 20738405300 | 492080273540000 | 8.30 |
| 2022-02-25 | 22.955 | 24.073 | 24.132 | 20.817 | 24583512500 | 570091750110000 | 9.83 |
| 2022-02-18 | 23.85 | 23.559 | 26.489 | 23.019 | 34273127700 | 856898242880000 | 13.72 |
| 2022-02-11 | 24.287 | 23.865 | 26.831 | 23.69 | 24233995200 | 615020992710000 | 9.70 |
| 2022-02-04 | 23.101 | 24.234 | 25.727 | 22.971 | 23832793600 | 582415181800000 | 9.53 |
| 2022-01-28 | 22.252 | 22.76 | 23.973 | 20.815 | 34413765800 | 773345535040000 | 13.77 |
| 2022-01-21 | 26.168 | 23.292 | 26.545 | 23.182 | 20592379300 | 513859680440000 | 8.25 |
| 2022-01-14 | 26.488 | 26.848 | 28.495 | 25.554 | 23125103300 | 627269896990000 | 9.24 |
| 2022-01-07 | 29.711 | 27.152 | 30.604 | 26.962 | 22752897700 | 650671675140000 | 9.10 |
| 2021-12-31 | 29.556 | 29.308 | 31.221 | 29.229 | 0 | 0 | 0.00 |
| 2021-12-23 | 27.21 | 29.536 | 29.954 | 27.05 | 0 | 0 | 0.00 |
| 2021-12-17 | 30.143 | 27.704 | 31.051 | 27.155 | 0 | 0 | 0.00 |
| 2021-12-10 | 29.776 | 30.093 | 32.336 | 27.94 | 0 | 0 | 0.00 |
| 2021-12-03 | 32.25 | 30.586 | 33.292 | 30.025 | 0 | 0 | 0.00 |
| 2021-11-26 | 33.397 | 31.39 | 34.512 | 30.769 | 0 | 0 | 0.00 |
| 2021-11-19 | 30.442 | 32.867 | 32.968 | 28.697 | 0 | 0 | 0.00 |
| 2021-11-12 | 30.041 | 30.281 | 32.194 | 28.675 | 0 | 0 | 0.00 |
| 2021-11-05 | 25.557 | 29.645 | 31.287 | 25.136 | 0 | 0 | 0.00 |
| 2021-10-29 | 22.89 | 25.475 | 25.617 | 22.688 | 0 | 0 | 0.00 |
| 2021-10-22 | 21.671 | 22.644 | 23.047 | 21.566 | 0 | 0 | 0.00 |
| 2021-10-15 | 20.501 | 21.783 | 21.852 | 20.437 | 0 | 0 | 0.00 |
| 2021-10-08 | 20.43 | 20.756 | 21.245 | 19.485 | 0 | 0 | 0.00 |
| 2021-10-01 | 21.632 | 20.668 | 21.721 | 20.13 | 0 | 0 | 0.00 |
